iter	Passed	Remaining
0	0	79
1	1	86
2	3	97
3	4	96
4	5	103
5	6	106
6	8	109
7	9	109
8	11	112
9	12	113
10	14	114
11	15	113
12	16	110
13	18	110
14	19	109
15	20	108
16	21	107
17	23	105
18	24	103
19	25	102
20	27	102
21	28	101
22	30	100
23	31	99
24	32	97
25	33	95
26	35	95
27	36	93
28	37	92
29	39	91
30	40	89
31	41	87
32	42	87
33	44	85
34	45	84
35	46	82
36	47	80
37	48	78
38	49	77
39	50	75
40	51	73
41	51	71
42	52	69
43	53	67
44	53	65
45	54	64
46	55	62
47	56	61
48	57	59
49	57	57
50	58	56
51	59	55
52	60	53
53	61	52
54	61	50
55	62	48
56	63	47
57	63	46
58	64	44
59	64	43
60	65	41
61	66	40
62	66	39
63	67	37
64	68	36
65	68	35
66	69	34
67	70	33
68	70	31
69	71	30
70	72	29
71	73	28
72	73	27
73	74	26
74	74	24
75	75	23
76	76	22
77	76	21
78	77	20
79	78	19
80	78	18
81	79	17
82	80	16
83	80	15
84	81	14
85	82	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	86	7
92	87	6
93	88	5
94	88	4
95	89	3
96	89	2
97	90	1
98	91	0
99	91	0
